,game_id,play_id,home_team_pred_proba_plus,away_team_pred_proba_plus,game_seconds_remaining
452038,2018120201,4105,0.1351080134031947,0.8648919865968053,169.0
452039,2018120201,4142,0.05569930081601493,0.9443006991839851,159.0
452040,2018120201,4208,0.06244393723763897,0.937556062762361,120.0
452041,2018120201,4230,0.07285503208730282,0.9271449679126972,76.0
452042,2018120201,4269,0.07221034475671495,0.927789655243285,27.0
452043,2018120201,4311,0.07867909533215199,0.921320904667848,15.0
452169,2018120202,4003,0.2431736458194855,0.7568263541805145,286.0
452170,2018120202,4031,0.25477747963914754,0.7452225203608525,262.0
452171,2018120202,4094,0.2351149320535044,0.7648850679464956,220.0
452172,2018120202,4144,0.2238412080834318,0.7761587919165682,187.0
452173,2018120202,4169,0.2099807033562039,0.7900192966437961,177.0
452174,2018120202,4212,0.16205723471509526,0.8379427652849047,173.0
452175,2018120202,4251,0.15951909633688888,0.8404809036631111,169.0
452176,2018120202,4290,0.15032681235435075,0.8496731876456493,164.0
452177,2018120202,4337,0.08399507675792794,0.9160049232420721,152.0
452178,2018120202,4376,0.09479597828659814,0.9052040217134019,120.0
452179,2018120202,4440,0.07006175123357479,0.9299382487664252,111.0
452180,2018120202,4466,0.06388617410040885,0.9361138258995911,107.0
452181,2018120202,4593,0.07636628290192969,0.9236337170980703,82.0
452182,2018120202,4618,0.10440803384704088,0.8955919661529591,49.0
452183,2018120202,4643,0.12347729546966336,0.8765227045303366,27.0
452184,2018120202,4665,0.11368850512389977,0.8863114948761002,23.0
452185,2018120202,4687,0.10332268889363018,0.8966773111063698,17.0
452186,2018120202,4715,0.05374401914385951,0.9462559808561405,12.0
452321,2018120203,4023,0.35191593653158004,0.64808406346842,108.0
452322,2018120203,4045,0.3870895224558272,0.6129104775441728,105.0
452323,2018120203,4090,0.35536241200358387,0.6446375879964161,101.0
452324,2018120203,4115,0.356154183692171,0.643845816307829,76.0
452325,2018120203,4137,0.3314314142369753,0.6685685857630247,73.0
452326,2018120203,4177,0.30022719016169097,0.699772809838309,69.0
452327,2018120203,4202,0.3869364455909065,0.6130635544090934,50.0
452328,2018120203,4228,0.3968583640973483,0.6031416359026517,33.0
452329,2018120203,4259,0.4163990574758962,0.5836009425241038,30.0
452330,2018120203,4281,0.3941462706990191,0.6058537293009809,26.0
452331,2018120203,4303,0.4434785289393187,0.5565214710606813,19.0
452332,2018120203,4325,0.42093590068927145,0.5790640993107286,15.0
452333,2018120203,4367,0.42275809778513024,0.5772419022148698,9.0
452334,2018120203,4389,0.4056275796685944,0.5943724203314056,3.0
452456,2018120210,4015,0.24323735027370028,0.7567626497262997,504.0
452457,2018120210,4037,0.23620520103563866,0.7637947989643613,459.0
452458,2018120210,4059,0.2683565716938622,0.7316434283061378,416.0
452459,2018120210,4081,0.24879739633008308,0.7512026036699169,409.0
452460,2018120210,4132,0.3288713353749816,0.6711286646250184,406.0
452461,2018120210,4165,0.30421289911339555,0.6957871008866044,380.0
452462,2018120210,4222,0.32514020039465874,0.6748597996053413,330.0
452463,2018120210,4277,0.2832580746002209,0.7167419253997791,278.0
452464,2018120210,4302,0.2504890268541172,0.7495109731458828,235.0
452465,2018120210,4324,0.25060405032042643,0.7493959496795736,189.0
452466,2018120210,4346,0.26940259474076345,0.7305974052592366,145.0
452467,2018120210,4388,0.17487681819382428,0.8251231818061757,127.0
452468,2018120210,4427,0.18712717592154315,0.8128728240784568,120.0
452469,2018120210,4449,0.20600403042553583,0.7939959695744642,117.0
452470,2018120210,4510,0.1441575543274409,0.8558424456725591,114.0
452471,2018120210,4530,0.12232693230741057,0.8776730676925895,88.0
452472,2018120210,4555,0.12923051183575862,0.8707694881642414,83.0
452473,2018120210,4580,0.17131579907914854,0.8286842009208515,64.0
452474,2018120210,4615,0.15834109254303624,0.8416589074569638,60.0
452475,2018120210,4637,0.14466041346279696,0.8553395865372031,53.0
452476,2018120210,4700,0.214051390382251,0.785948609617749,39.0
452477,2018120210,4725,0.20288576956171206,0.7971142304382879,34.0
452478,2018120210,4767,0.13773830346671334,0.8622616965332867,28.0
452479,2018120210,4789,0.14214495449466735,0.8578550455053326,26.0
452480,2018120210,4834,0.14821198783312273,0.8517880121668773,24.0
452616,2018120211,4011,0.4115254597755226,0.5884745402244774,114.0
452617,2018120211,4067,0.39166744060820363,0.6083325593917963,98.0
452618,2018120211,4120,0.40362605462350937,0.5963739453764907,87.0
452619,2018120211,4170,0.5064673736458633,0.49353262635413675,71.0
452620,2018120211,4195,0.5687022309772479,0.4312977690227521,52.0
452621,2018120211,4220,0.5585861871728273,0.44141381282717274,48.0
